datasetid,un_stats_sdg_goal_code
deploiement-de-la-fibre-optique-en-nouvelle-caledonie,"4,8,9,16,17,7"
prixnc,16
localisation-des-agences-opt-nc,"11,16"
offre-de-transport-du-reseau-taneo,"9,11,16"
arome-outre-mer,
cartographie-dynamique-du-plan-durbanisme-directeur-2021,11
quartiers0,
voie,
troncvoi,
adresses,
couverture-mobile-theorique-en-nouvelle-caledonie,"4,11,16"
limites-de-lespace-maritime,
limnimetres0,
usines-metallurgiques0,
debits-caracteristiques-detiage-etude-2016,
centres-medicaux-sociaux-et-ccas,"3,4,11,16"
arbres-remarquables0,
limite-domaine-public-fluvial-mer,
secteurselectoraux-gdb,
fiches-impression-a3,
bureauvote-gdb,
occupation-du-sol-2008-au-format-shapefile,
cartographie-au-1500000,
occupation-du-sol-2005-au-format-shapefile,
acces-au-telechargement-des-orthophotographies0,
acces-au-telechargement-des-photographies-aeriennes-raster,
plan-durbanisme-directeur,11
delimitation-de-lespace-maritime,
modele-numerique-de-terrain-marin-de-la-zee-a-500-metres,
carroyage-dfci-defense-de-la-foret-contre-les-incendies,
exploitation-miniere,
occupation-du-sol-evolution-entre-2005-et-2014-au-format-shapefile,
ambulances,"3,11"
occupation-du-sol-1996-au-format-geodatabase,
vue-aerienne-orthophotographie,
orthophotographies-historiques-de-1976,
carte-topographique-au-110000,
geologie-mine,
mine-et-carriere,
reserves-metallurgiques,
eaux-provinciales,"6,15"
referentiel-hydrogeologique-base-de-donnees-des-limites-des-systemes-aquiferes-0,"6,15"
mer-territoriale,
navigations-des-campagnes-sismiques,
centres-miniers0,
bathymetrie-isobathes-zee,
geoide-de-nouvelle-caledonie,
stations-rorc0,
demande-demploi,
imagerie-acoustique-de-nouvelle-caledonie,
dfci-a-100km,
sites,
dfci-a-20km0,
dfci-a-2km0,
vestiges-ruines-industrielles-et-sites-archeologiques,
carroyage-dfci-defense-de-la-foret-contre-les-incendies-au-format-geodatabase0,"13,15"
reglementation-de-lespace-maritime,
occupation-du-sol-2008-au-format-geodatabase,
oblic-suivi-morpho-sedimentaire-du-littoral0,14
profils,
acces-au-telechargement-de-la-cartographie-raster,
oblic-aleas-cotiers-potentiels,14
modele-numerique-de-terrain-srtm,
aires-coutumieres0,
vegetation-des-iles-eloignees,15
references-hydrographiques,"2,15"
limites-provinciales-en-mer,14
reseau-de-stations-meteorologiques-de-meteo-france,
limites-communales-en-mer,
recifs-eloignes,
terres-emergees,
limite-des-200-miles-selon-unclos-convention-de-montego-bay,
hydrometrie,15
eaux-interieures-provinciales,"15,6"
captages-deau0,"15,6"
occupation-du-sol-evolution-entre-2005-et-2014-au-format-geodatabase,
occupation-du-sol-2005-au-format-geodatabase0,
occupation-du-sol-1996-au-format-shapefile,
eaux-interieures-de-nouvelle-caledonie,"15,6"
cartographie-au-1100000,
cartographie-au-1650000,
cartographie-au-150000,
eaux-territoriales-provinciales,"15,6"
photographies-aeriennes-de-1935-a-nos-jours,
moyens-de-production-electrique,7
geologie,
cadres-irh-inventaire-des-ressources-hydrauliques0,15
prelevements-marins,
points-definissant-les-lignes-de-base,
massifs-de-peridotites,
isobathe-500-metres-interprete,
stations-de-suivi-du-reseau-dobservation-des-recifs-coralliens-rorc,
zones-especes-envahissantes,15
transects-tortues-vertes,15
isobathe-1000-metres-interprete,
oblic-sites-pilotes-du-reseau-de-suivi0,
amenagements-cotiers,"9,11,13,15"
oblic-evolution-du-littoral-des-sites-cotiers0,
isobathes-de-la-zee-equidistance-1000metres,
points-dobservation0,
isobathe-100-metres-interprete,
zones-cles-de-biodiversite-kba-key-biodiversity-areas,"2,13,14,15"
oblic-evolution-du-littoral-de-noumea0,"9,11,13"
perimetre-ramsar,
base-de-donnees-routieres-bdroute-nc-au-format-geodatabase,9
modele-numerique-de-terrain-marin-shom-a-100-metres-nm0,
stations-de-jaugeages0,
modele-numerique-de-terrain-marin-shom-a-100-metres-pbma-0,
perimetres-de-protection-des-eaux,
modele-numerique-de-terrain-bdalti-nc,
bassins-versants-dce,
frontieres-resultant-daccords-bilateraux,
emprise-de-la-zee,"2,8,9,12,14"
carrieres-autorisees0,
occupation-du-sol-2014-au-format-geodatabase,
eaux-territoriales-de-nouvelle-caledonie,"13,15"
geologie-au-11000000eme-au-format-shape,
lignes-de-base-droites,
geomorphologie-des-recifs0,
limite-domaine-public-fluvial-mer-lignes,
geologie-au-11000000eme-au-format-geodatabase0,
geologie-au-1200000eme-au-format-geodatabase,
isobathes-de-la-zee-equidistance-200metres,
base-de-donnees-des-photographies-aeriennes-bdphoto-nc-au-format-geodatabase,
bassins-versants-limnimetres0,15
cadastre-minier0,
carte-structurale-du-sud-ouest-pacifique,
piezometres0,
stations-jaugeages-dce,
vent-de-reference,
toponymes,
accidents,
antennes-medico-psychologiques-du-chs-et-permanences-decoute-psychologique,"3,11,16"
sites-dinteret-de-lespace-maritime,
captages-eau-aep-alimentation-eau-potable0,
regions-hydrographiques0,
captages-deau-prives-autorises0,
limites-administratives-marines,
occupation-du-sol-2014-au-format-shapefile,
reserves-du-parc-naturel-de-la-mer-de-corail,
limite-domaine-public-fluvial-mer-points,
anomalie-gravimetrique-de-nouvelle-caledonie,
points-de-reperes-bdpr-nc,
modele-numerique-de-terrain-marin-a-100-metres,
geologie-au-150000eme-au-format-geodatabase,
reserves-techniques-provinciales0,
geologie-au-150000eme-au-format-shape,
centres-de-photographies-aeriennes-bdphoto-nc,
geologie-au-1200000eme-au-format-shape,
emprises-de-photographies-bdphoto-nc,
base-de-donnees-cycloniques0,
axes-de-vol-bdphoto-nc,
bdchantier-nc-au-format-geodatabase,
limites-des-surfaces-de-degagement,
emprises-de-missions-bdphoto-nc,
bdphoto-nc0,
massifs-de-peridotites-au-50000,
her-hydroecoregions0,
toponymes-massifs-de-peridotites-au-1000000,
iba-delimitees0,
toponymes-massifs-de-peridotites-au-50000,
iba-indicatives0,
massifs-de-peridotites-au-1000000,
pluviometrie,15
offre-demploi,8
iba-important-birds-areas0,
points-de-reference,
limites-revendiquees,
oblic-typologie-du-littoral,
zone-contigue,
anomalie-gravimetrique-du-sud-ouest-pacifique,
anomalie-magnetique-de-nouvelle-caledonie,
evolution-temporelle-du-littoral,
limites-du-parc-naturel-de-la-mer-de-corail,14
emprises-des-sites-pilotes,
denomination-des-zones-baties0,
limites-des-zones-baties0,
plateforme-recifale-des-ilots,"13,14"
beachrock-des-ilots,
evolution-du-trait-de-cote-des-ilots,
permis-de-recherches-miniers0,
tendance-evolutive-actuelle-des-ilots,"13,14,15"
titres-miniers-echus0,
vitesse-devolution-des-ilots,"13,14,15"
zones-de-survol-des-drones-de-loisir,
zones-minieres-interdites0,
cote-potentiellement-soumise-a-lalea-mouvement-de-terrain,"13,14,15"
cote-potentiellement-soumise-a-lalea-erosion,"13,14,15"
profils-sismiques-reflexion-bdd-tasman-frontier,
evolution-des-surfaces-du-littoral-de-lanse-vata,
limites-des-chantiers-dorthophotographies-bdchantier-nc0,
schema-directeur-de-lhydrographie,6
etude-bv-aep-regulation-especes-envahissantes-etude-ci-2013-2016,
oblic-sensibilite-morpho-sedimentaire-esi-du-littoral0,
perimetres-de-protection-des-eaux0,6
profils-sismiques-refraction-nc,
contraintes-de-circulation,
profils-sismiques-reflexion-nc,
grands-barrages-de-nouvelle-caledonie0,"6,7"
vitesse-devolution-du-littoral,13
pointes-des-anomalies-magnetiques-sud-ouest-pacifique,
provinces-structurales-nature,
provinces-structurales-age,
evolution-des-surfaces-des-ilots,
alea-amiante-environnemental,
element-morphologique-des-ilots,
occupation-du-sol-du-littoral,
comptage-trafic-routier,
typologie-du-littoral,
tendance-evolutive-actuelle-du-littoral,
concessions-minieres0,
localites-et-zones-baties0,
bdloc-nc-referentiel-des-donnees-publiques-localisees0,
vitesse-devolution-du-littoral-de-lanse-vata,"13,11"
evolution-des-surfaces-du-littoral,"13,11"
historique-des-trajectoires,
historique-des-positions,
bdadmin-nc-au-format-geodatabase,
cote-potentiellement-soumise-a-lalea-submersion-marine,
cellules-sedimentaires-tous-niveaux,
trait-de-cote,"13,11"
sections-cadastrales,
adaptation-obstacle,
zones-cles-de-biodiversite-terrestres,"15,13"
bornes-de-recharge-pour-vehicules-electriques0,"7,9,11,13"
